2458196.86426427    16.080000	  16315.327274798
2458196.87984851    16.105000	  16276.297373073
2458196.89544244    16.132000	  16237.472367687
2458197.81860742    15.786000	  16185.509485088
2458197.83419825    15.805000	  16147.514310368
2458197.84978568    15.826000	  16108.821883142
2458198.83770534    15.572000	  15891.514612396
2458198.85328632    15.594000	  15852.577530513
2458198.86886522    15.619000	  15813.413349768
2458199.83581915    15.329000	  15644.280682733
2458199.85139579    15.352000	  15605.263892236
2458199.86698615    15.376000	  15565.998722642
2458201.86408907    14.877000	  15056.215054090
2458201.87967537    14.904000	  15017.012263580
2458201.89524821    14.932000	  14978.364897156
2458203.81555732    14.295000	  14645.833726309
2458203.83113900    14.315000	  14606.850415435
2458203.84671696    14.338000	  14567.459401430
2458207.79286453    13.351000	  13595.717536273
2458207.80845428    13.381000	  13557.041115886
2458207.82405492    13.411000	  13517.665183701
2458208.80391159    12.938000	  13283.417474305
2458208.81950060    12.959000	  13244.079951317
2458208.83507895    12.982000	  13204.395929768
2458245.70994515     0.843000	   1160.701650065
2458245.72552366     0.864000	   1120.072156608
2458245.74109992     0.887000	   1079.229433584
2458246.71012088     0.496000	    802.032508978
2458246.72570959     0.518000	    761.303193132
2458246.74129017     0.541000	    720.439536690
2458247.72153527     0.163000	    413.585506456
2458247.73712457     0.186000	    372.693950527
2458247.91447380     0.641000	     -4.633363084
2458247.93006418     0.650000	    -22.600521190
2458247.94565479     0.655000	    -37.259010701
2458248.65828998    -0.110000	    215.705489216
2458248.67388801    -0.084000	    177.392993046
2458248.68947944    -0.056000	    137.947428738
2458249.71102304    -0.298000	   -276.955408464
2458249.72660338    -0.339000	   -317.805891571
2458249.74217962    -0.379000	   -358.602461191
2458252.78358069    -1.359000	  -1540.073021496
2458252.79918769    -1.399000	  -1577.131148933
2458252.81477953    -1.440000	  -1612.421070671
2458253.71008885    -1.728000	  -1710.207569800
2458253.72567912    -1.769000	  -1751.078787521
